EmbeddedDomain,IPAdress,NumberOfDotsInURL,SuspiciousURL,NumberOfSensitiveWordsInURL,OutOfPositionTopLevelDomain,BadForms,BadActionFields,NonMatchingURLs,OutOfPositionBrandName,WebPageSize,AgeOfDomain,VirusTotalDomainReputation,XForceDomainReputation,PageRank,Label
0,0,1,1,0,0,0,0,-1,-1,165,1,14,1,0,1
0,0,1,0,0,0,0,0,-1,-1,430,0,21,1,0,1
0,0,1,0,0,0,0,0,1,0,39257,1,17,1,0,1
0,0,4,1,0,0,0,0,1,0,13300,0,12,1,0,1
0,0,3,0,0,1,0,0,-1,-1,165,0,12,1,0,1
0,0,1,1,0,0,0,0,1,0,9511,0,19,1,0,1
0,0,3,0,1,0,0,0,1,0,1858,0,18,0,0,1
0,0,2,0,0,0,0,0,1,0,4773,0,1,0,4,1
0,0,2,0,0,0,0,0,0,0,6722,1,13,1,0,1
0,0,2,0,0,1,0,0,1,0,4175,1,13,1,0,1
0,0,2,0,0,0,0,0,0,0,37584,0,10,1,1,1
0,0,3,1,0,0,0,0,1,0,117,0,11,0,0,1
0,0,1,1,1,0,0,0,1,0,212915,1,14,-1,0,1
0,0,4,0,0,1,0,0,1,0,703,0,3,0,0,1
0,0,1,0,0,0,0,0,-1,-1,7401,0,15,0,0,1
0,0,1,0,0,0,0,0,-1,-1,7407,0,16,-1,0,1
0,0,1,0,0,0,0,0,1,0,1757879,1,14,1,0,1
0,0,3,0,0,0,-1,-1,1,0,24014,0,9,1,0,1
0,0,3,1,0,0,0,0,-1,-1,2260,0,15,-1,0,1
0,0,1,0,0,0,0,0,1,0,54177,1,16,1,0,1
0,0,3,1,0,0,0,0,1,0,1225,0,1,0,3,1
0,0,3,1,0,0,0,0,-1,0,762163,0,19,1,0,1
0,0,1,0,0,0,0,0,-1,-1,7413,1,18,1,0,1
0,0,1,0,0,0,0,0,1,0,7388,1,10,-1,0,1
0,0,1,0,0,0,0,0,-1,-1,575,0,15,1,0,1
0,0,3,1,0,0,0,0,1,0,3742,0,16,1,0,1
0,0,3,1,0,0,0,0,1,0,3742,0,19,1,0,1
0,0,1,1,0,0,0,0,1,0,288005,1,12,1,0,1
0,0,1,1,0,0,0,0,1,0,289898,1,12,1,0,1
0,0,1,1,0,0,0,0,1,0,9965,1,12,1,0,1
0,0,1,1,0,0,0,0,1,0,9511,0,17,1,0,1
0,0,2,1,0,0,0,0,-1,-1,10485,0,4,-1,0,1
0,0,1,0,0,0,0,0,1,0,90348,1,13,1,0,1
0,0,1,0,0,0,0,0,1,0,1828,1,16,1,0,1
0,0,1,0,0,0,0,0,1,0,5628,1,13,1,0,1
0,0,2,0,1,0,0,0,-1,-1,557,0,11,-1,0,1
0,0,2,1,0,0,0,0,1,0,78766,1,10,-1,0,1
0,0,2,0,0,0,0,0,1,0,20713,0,12,1,0,1
0,0,2,0,0,0,0,0,-1,0,836,0,16,1,0,1
0,0,2,0,0,0,0,0,-1,0,835,0,13,1,0,1
0,0,1,0,0,0,0,0,-1,-1,165,1,17,1,0,1
0,0,1,0,0,0,0,0,1,0,429659,0,0,0,5,1
0,0,2,0,0,0,0,0,1,0,92537,0,0,0,8,1
0,0,3,0,0,0,0,0,-1,0,840,0,6,1,0,1
0,0,1,0,0,0,0,0,-1,-1,165,0,14,1,0,1
0,0,7,1,1,1,0,0,1,0,13271,0,7,-1,0,1
0,0,7,1,1,1,0,0,1,0,13296,0,7,-1,0,1
0,0,1,0,0,0,0,0,1,0,429659,0,0,0,5,1
0,0,4,1,0,0,0,0,1,0,131,0,9,1,0,1
0,0,2,0,0,0,0,0,0,0,453023,0,1,0,5,1
0,0,1,0,0,0,0,0,1,0,42439,1,8,-1,0,1
0,0,1,1,0,0,0,0,-1,-1,397,1,14,1,0,1
0,0,1,1,0,0,0,0,1,0,755235,1,17,1,0,1
0,0,1,1,0,0,0,0,1,0,755236,1,17,1,0,1
0,0,2,1,0,0,0,0,1,0,22802,0,14,1,0,1
0,0,2,1,0,0,0,0,1,0,22802,0,13,1,0,1
0,0,2,0,0,0,0,0,1,0,3742,0,8,0,0,1
0,0,1,1,0,0,0,0,1,0,9431,0,16,-1,0,1
0,0,1,1,0,0,0,0,1,0,340579,1,19,1,0,1
0,0,1,1,0,0,0,0,-1,-1,7437,1,18,1,0,1
0,0,1,0,0,0,0,0,-1,-1,7425,0,10,-1,0,1
0,0,2,0,0,0,0,0,1,0,20713,0,12,0,0,1
0,0,2,0,0,0,0,0,1,0,70,1,0,-1,0,1
0,0,3,1,0,0,0,0,1,0,9617,0,6,0,0,1
0,0,1,0,0,0,0,0,1,0,320035,0,6,-1,1,1
0,0,3,1,0,0,0,0,1,0,3742,0,18,1,0,1
0,0,3,1,0,0,0,0,1,0,3742,0,19,1,0,1
0,0,3,1,0,0,0,0,-1,-1,730461,0,18,1,0,1
0,0,3,1,0,0,0,0,1,0,3742,0,14,0,0,1
0,0,3,1,0,0,0,0,1,0,730566,0,17,1,0,1
0,0,3,1,0,0,0,0,1,0,796458,0,16,1,0,1
0,0,3,1,1,0,0,0,-1,-1,45329,0,19,1,0,1
0,0,3,1,0,0,0,0,1,0,730572,0,19,1,0,1
0,0,4,1,0,0,-1,-1,1,0,544063,1,-1,-1,0,1
0,0,2,1,1,0,0,0,1,0,5813,0,17,-1,0,1
0,0,1,0,0,0,0,0,1,0,664308,1,11,-1,0,1
0,0,1,0,0,0,0,0,1,0,14039,0,15,1,0,1
0,0,1,1,1,0,0,0,-1,-1,7405,1,11,-1,0,1
0,0,2,1,0,0,0,0,1,0,48180,0,0,0,8,1
0,0,2,0,0,0,0,0,1,0,45415,0,0,0,8,1
0,0,1,0,0,0,0,0,1,0,143437,1,6,-1,0,1
0,0,1,0,0,0,0,0,0,0,3453,0,5,0,2,1
0,0,1,0,0,0,0,0,1,0,60890,0,0,-1,0,1
0,0,1,0,0,0,0,0,-1,0,12149,1,12,1,0,1
0,0,8,1,0,0,0,0,-1,-1,435432,0,3,0,3,1
0,0,1,0,0,0,0,0,1,0,1560,0,9,-1,0,1
0,0,2,0,0,0,0,0,1,0,20713,0,12,1,0,1
0,0,2,1,0,0,0,0,1,0,30416,0,11,1,0,1
0,0,1,0,0,0,0,0,1,0,3742,1,15,1,0,1
0,0,3,0,0,0,-1,-1,1,0,118502,0,0,0,8,1
0,0,2,0,0,0,0,0,0,0,449543,0,1,0,5,1
0,0,2,0,0,0,0,0,-1,-1,213,0,0,-1,2,1
0,0,3,1,0,0,0,0,1,0,10307,0,10,-1,0,1
0,0,2,0,1,0,0,0,1,0,6099,0,0,0,0,1
0,0,3,1,0,0,0,0,1,0,126,0,13,-1,0,1
0,0,2,0,1,0,0,0,-1,-1,7286,0,10,-1,2,1
0,0,2,1,0,0,0,0,0,0,69531,0,8,-1,2,1
0,0,2,0,0,0,0,0,1,0,35796,0,13,1,0,1
0,0,1,0,0,0,0,0,-1,0,477,1,13,1,0,1
0,0,4,1,0,0,0,0,1,0,9255,0,10,0,2,1
