['2113', 0]
['2114', 0]
['2115', 0]
['2116', 0]
['2118', 0]
['2119', 0]
['2123', 5]
['2124', 0]
['2125', 8]
['2126', 7]
['2127', 8]
['2128', 8]
['2130', 1]
['2131', 6]
['2132', 6]
['2133', 6]
['2134', 0]
['2135', 2]
['2136', 1]
['2137', 0]
['2139', 0]
['2140', 0]
['2141', 8]
['2142', 0]
['2143', 8]
['2144', 8]
['2145', 0]
['2146', 0]
['2147', 0]
['2148', 4]
['2155', 0]
['2156', 0]
['2157', 0]
['2158', 8]
['2162', 8]
['2163', 0]
['2164', 0]
['2165', 0]
['2167', 8]
['2168', 8]
['2169', 0]
['2170', 8]
['2172', 0]
['2173', 0]
['2174', 0]
['2175', 0]
['2176', 0]
['2178', 0]
['2179', 0]
['2180', 0]
['2181', 0]
['2182', 0]
['2183', 0]
['2184', 0]
['2185', 2]
['2186', 2]
['2187', 0]
['2188', 0]
['2189', 0]
['2190', 0]
['2192', 0]
['2193', 0]
['2194', 8]
['2195', 0]
['2196', 4]
['2197', 0]
['2198', 0]
['2199', 0]
['2200', 0]
['2201', 0]
['2203', 0]
['2204', 0]
['2205', 0]
['2206', 8]
['2207', 8]
['2208', 0]
['2209', 3]
['2210', 0]
['2211', 8]
['2212', 8]
['2213', 0]
['2214', 8]
['2215', 0]
['2216', 0]
['2217', 0]
['2219', 0]
['2220', 8]
['2222', 8]
['2223', 8]
['2224', 0]
['2225', 0]
['2227', 0]
['2228', 5]
['2229', 3]
['2231', 1]
['2232', 1]
['2237', 0]
['2238', 0]
['2239', 0]
['2240', 0]
['2241', 0]
['2242', 0]
['2243', 0]
['2244', 0]
['2245', 0]
['2246', 0]
['2248', 0]
['2250', 0]
['2251', 0]
['2252', 0]
['2253', 0]
['2254', 4]
['2255', 0]
['2256', 0]
['2258', 0]
['2261', 7]
['2262', 0]
['2266', 0]
['2268', 0]
['2269', 8]
['2270', 8]
['2271', 8]
['2272', 8]
['2273', 2]
['2274', 0]
['2275', 0]
['2276', 0]
['2277', 5]
['2278', 5]
['2279', 0]
['2280', 0]
['2281', 4]
['2283', 0]
['2284', 8]
['2285', 2]
['2286', 0]
['2287', 0]
['2288', 0]
['2289', 0]
['2292', 6]
['2293', 8]
['2294', 8]
['2295', 0]
['2296', 0]
['2297', 0]
['2298', 0]
['2299', 2]
['2302', 8]
['2303', 0]
['2304', 0]
['2305', 0]
['2306', 4]
['2310', 0]
['2316', 3]
['2317', 0]
['2318', 0]
['2319', 0]
['2320', 5]
['2323', 0]
['2324', 0]
['2325', 0]
['2326', 0]
['2328', 2]
['2330', 4]
['2331', 8]
['2333', 1]
['2336', 0]
['2337', 5]
['2338', 8]
['2339', 0]
['2340', 0]
['2341', 0]
['2342', 0]
['2343', 0]
['2344', 0]
['2345', 0]
['2347', 0]
['2350', 0]
['2351', 0]
['2352', 0]
['2353', 0]
['2354', 0]
['2361', 2]
['2362', 2]
['2363', 2]
['2364', 2]
['2365', 0]
['2366', 2]
['2367', 2]
['2368', 0]
['2369', 0]
['2370', 0]
['2371', 0]
['2372', 0]
['2373', 0]
['2374', 0]
['2375', 2]
['2376', 2]
['2377', 0]
['2378', 0]
['2379', 0]
['2380', 2]
['2381', 0]
['2382', 0]
['2383', 0]
['2385', 7]
['2386', 8]
['2387', 2]
['2388', 2]
['2389', 0]
['2390', 0]
['2391', 0]
['2392', 0]
['2393', 0]
['2395', 0]
['2396', 8]
['2397', 8]
['2398', 8]
['2401', 8]
['2403', 0]
['2404', 8]
['2405', 0]
['2406', 0]
['2409', 0]
['2410', 0]
['2411', 8]
['2412', 0]
['2413', 2]
['2414', 2]
['2415', 0]
['2416', 8]
['2417', 8]
['2418', 0]
['2419', 0]
['2420', 6]
['2423', 2]
['2424', 0]
['5000', 2]
['5001', 2]
['5002', 2]
['5003', 2]
['5004', 3]
['5005', 2]
['5006', 4]
['5007', 3]
['5008', 3]
['5009', 4]
['5010', 3]
['5011', 2]
['5012', 1]
['5013', 2]
['5014', 3]
['5015', 1]
['5016', 3]
['5017', 2]
['5018', 2]
['5019', 2]
['5020', 3]
['5021', 3]
['5022', 3]
['5023', 3]
['5024', 2]
['5025', 3]
['5026', 2]
['5027', 2]
['5028', 2]
['5029', 2]
['5030', 2]
['5031', 3]
['5032', 2]
['5033', 0]
['5034', 2]
['5035', 2]
['5036', 3]
['5037', 2]
['5038', 2]
['5039', 3]
['5040', 3]
['5041', 2]
['5042', 2]
['5043', 2]
['5044', 4]
['5045', 2]
['5046', 4]
['5047', 2]
['5048', 4]
['5049', 3]
['5050', 0]
['5051', 2]
['5052', 3]
['5053', 1]
['5054', 3]
['5055', 4]
['5056', 6]
['5057', 2]
['5058', 2]
['5059', 2]
['5060', 2]
['5061', 2]
['5062', 1]
['5063', 3]
['5064', 2]
['5065', 2]
['5066', 3]
['5067', 2]
['5068', 2]
['5069', 2]
['5070', 2]
['5071', 2]
['5072', 2]
['5073', 2]
['5074', 1]
['5075', 2]
['5076', 2]
['5077', 2]
['5078', 2]
['5079', 2]
['5080', 3]
['5081', 3]
['5082', 2]
['5083', 2]
['5084', 2]
['5085', 2]
['5086', 4]
['5087', 4]
['5088', 2]
['5089', 2]
['5090', 2]
['5091', 2]
['5092', 2]
['5093', 2]
['5094', 0]
['5095', 2]
['5096', 3]
['5097', 3]
['5098', 3]
['5099', 2]
['5100', 2]
['5101', 2]
['5102', 1]
['5103', 2]
['5104', 2]
['5105', 1]
['5106', 2]
['5107', 0]
['5108', 2]
['5109', 3]
['5110', 2]
['5111', 2]
['5112', 2]
['5113', 3]
['5114', 2]
['5115', 1]
['5116', 2]
['5117', 2]
['5118', 1]
['5119', 2]
['5120', 4]
['5121', 2]
['5122', 2]
['5123', 2]
['5124', 3]
['5125', 3]
['5126', 2]
['5127', 2]
['5128', 3]
['5129', 2]
['5130', 2]
['5131', 2]
['5132', 2]
['5133', 4]
['5134', 1]
['5135', 4]
['5136', 3]
['5137', 2]
['5138', 3]
['5139', 3]
['5140', 2]
['5141', 2]
['5142', 2]
['5143', 2]
['5144', 3]
['5145', 2]
['5146', 1]
['5147', 3]
['5148', 1]
['5149', 3]
['5150', 2]
['5151', 2]
['5152', 2]
['5153', 2]
['5154', 3]
['5155', 2]
['5156', 2]
['5157', 3]
['5158', 2]
['5159', 2]
['5160', 2]
['5161', 2]
['5162', 2]
['5163', 2]
['5164', 2]
['5165', 2]
['5166', 2]
['5167', 2]
['5168', 2]
['5169', 2]
['5170', 1]
