['5263', 2]
['5264', 2]
['5265', 2]
['5266', 2]
['5267', 1]
['5268', 3]
['5269', 1]
['5270', 2]
['5271', 2]
['5272', 2]
['5273', 0]
['5274', 2]
['5275', 1]
['5276', 2]
['5277', 2]
['5278', 2]
['5279', 2]
['5280', 2]
['5281', 2]
['5282', 2]
['5283', 2]
['5284', 3]
['5285', 3]
['5286', 2]
['5287', 4]
['5288', 2]
['5289', 1]
['5290', 3]
['5291', 2]
['5292', 3]
['5293', 2]
['5294', 0]
['5295', 1]
['5296', 2]
['5297', 2]
['5298', 2]
['5299', 0]
['5300', 2]
['5301', 2]
['5302', 0]
['5303', 2]
['5304', 2]
['5305', 2]
['5306', 2]
['5307', 3]
['5308', 2]
['5309', 3]
['5310', 2]
['5311', 2]
['5312', 1]
['5313', 1]
['5314', 2]
['5315', 3]
['5316', 2]
['5317', 3]
['5318', 2]
['5319', 2]
['5320', 2]
['5321', 1]
['5322', 3]
['5323', 2]
['5324', 2]
['5325', 2]
['5326', 2]
['5327', 2]
['5328', 3]
['5329', 3]
['5330', 2]
['5331', 2]
['5332', 2]
['5333', 2]
['5334', 0]
['5335', 3]
['5336', 2]
['5337', 2]
['5338', 2]
['5339', 3]
['5340', 2]
['5341', 2]
['5342', 2]
['5343', 3]
['5344', 2]
['5345', 2]
['5346', 2]
['5347', 3]
['5348', 2]
['5349', 2]
['5350', 2]
['5351', 2]
['5352', 2]
['5353', 2]
['5354', 2]
['5355', 2]
['5356', 2]
['5357', 2]
['5358', 2]
['5359', 3]
['5360', 2]
['5361', 2]
['5362', 2]
['5363', 2]
['5364', 2]
['5365', 2]
['5366', 3]
['5367', 0]
['5368', 2]
['5369', 2]
['5370', 0]
['5371', 0]
['5372', 3]
['5373', 4]
['5374', 2]
['5375', 2]
['5376', 2]
['5377', 2]
['5378', 2]
['5379', 2]
['5380', 2]
['5381', 2]
['5382', 0]
['5383', 2]
['5384', 2]
['5385', 2]
['5386', 2]
['5387', 2]
['5388', 2]
['5389', 2]
['5390', 2]
['5391', 2]
['5392', 2]
['5393', 2]
