['500', 14]
['501', 21]
['502', 17]
['503', 12]
['583', 12]
['594', 19]
['596', 18]
['600', 1]
['603', 13]
['604', 13]
['607', 10]
['610', 11]
['632', 14]
['634', 3]
['642', 15]
['643', 16]
['644', 14]
['648', 9]
['650', 15]
['651', 16]
['653', 1]
['654', 19]
['655', 18]
['656', 10]
['658', 15]
['659', 16]
['660', 19]
['667', 12]
['668', 12]
['672', 12]
['674', 17]
['677', 4]
['681', 13]
['684', 16]
['685', 13]
['687', 11]
['691', 10]
['694', 12]
['695', 16]
['696', 13]
['697', 17]
['699', 0]
['700', 0]
['701', 6]
['702', 14]
['707', 7]
['708', 7]
['730', 0]
['733', 9]
['734', 1]
['741', 8]
['744', 14]
['746', 17]
['747', 17]
['752', 14]
['753', 13]
['755', 8]
['759', 16]
['765', 19]
['767', 18]
['768', 10]
['770', 12]
['771', 0]
['774', 6]
['776', 6]
['778', 18]
['781', 19]
['784', 18]
['785', 14]
['786', 17]
['787', 16]
['788', 19]
['790', 19]
['791', -1]
['797', 17]
['798', 11]
['802', 15]
['803', 11]
['805', 0]
['807', 0]
['808', 6]
['809', 5]
['810', 0]
['814', 12]
['816', 3]
['817', 9]
['819', 12]
['820', 11]
['822', 15]
['823', 0]
['824', 1]
['826', 0]
['828', 10]
['829', 0]
['832', 13]
['833', 10]
['834', 8]
['838', 13]
['839', 13]
['840', 10]
['841', 4]
['842', 10]
['843', 11]
['845', 1]
['846', 5]
['848', 0]
['849', 0]
['850', 1]
['851', 0]
['852', 0]
['854', 17]
['855', 17]
['856', 0]
['857', 2]
['859', 10]
['861', 13]
['866', 0]
['874', 13]
['875', 1]
['876', 0]
['877', 0]
['878', 0]
['879', 1]
['880', 13]
['883', 11]
['884', 2]
['885', 22]
['886', 16]
['891', 16]
['893', 14]
['894', 17]
['895', 18]
['897', 16]
['904', 15]
['905', 13]
['907', 15]
['908', 14]
['910', 0]
['915', 11]
['916', 8]
['917', 11]
['918', 17]
['919', 6]
['922', 6]
['923', 16]
['924', 18]
['925', 13]
['926', 1]
['927', 16]
['928', 13]
['929', 5]
['930', 13]
['933', 0]
['934', 16]
['935', 17]
['937', 13]
['940', 13]
['943', 20]
['944', 4]
['945', 0]
['946', 19]
['948', 1]
['952', 17]
['961', 10]
['962', 2]
['965', 0]
['968', 0]
['973', 0]
['974', 3]
['976', 1]
['977', 3]
['978', 3]
['979', 1]
['980', 0]
['981', 0]
['983', 3]
['986', 0]
['989', 0]
['990', 11]
['991', -1]
['993', 18]
['995', 2]
['996', 5]
['997', 16]
['998', 3]
['999', 1]
['1000', 0]
['1001', 2]
['1002', 15]
['1003', 0]
['1007', 12]
['1008', 1]
['1010', 4]
['1012', 13]
['1013', 13]
['1014', 14]
['1015', 13]
['1016', 15]
['1017', 0]
['1018', 14]
['1020', 11]
['1021', 16]
['1023', 0]
['1024', 2]
['1025', 15]
['1026', 13]
['1028', 16]
['1029', 14]
['1030', 14]
['1031', 13]
['1032', 18]
['1033', 0]
['1035', 4]
['1036', 0]
['1037', 0]
['1038', 3]
['1039', 17]
['1042', 17]
['1045', 12]
['1046', 2]
['1047', 19]
['1048', 0]
['1049', 15]
['1051', 10]
['1052', 16]
['1053', 4]
['1054', 19]
['1055', 9]
['1056', 16]
['1057', 19]
['1058', 24]
['1059', 16]
['1061', 5]
['1062', 19]
['1063', 14]
['1064', 13]
['1067', 7]
['1069', 2]
['1070', 20]
['1071', 0]
['1072', 16]
['1073', 9]
['1074', 16]
['1075', 10]
['1076', 17]
['1077', 17]
['1078', 16]
['1079', 16]
['1080', 15]
['1081', 16]
['1082', 16]
['1083', 13]
['1084', 15]
['1085', 14]
['1086', 16]
['1087', 11]
['1088', 16]
['1089', 14]
['1090', 17]
['1091', 16]
['1092', 16]
['1093', 16]
['1094', 15]
['1095', 14]
['1096', 15]
['1097', 17]
['1098', 16]
['1099', 18]
['1100', 16]
['1101', 17]
['1102', 12]
['1103', 16]
['1106', 1]
['1107', 18]
['1108', 1]
['1112', 1]
['1113', 1]
['1114', 13]
['1115', 16]
['1116', 20]
['1120', 5]
['1121', 3]
['1122', 0]
['1123', 13]
['1125', 11]
['1126', 6]
['1127', 7]
['1128', 1]
['1130', 15]
['1131', 18]
['1132', 18]
['1133', 18]
['1134', 20]
['1135', 20]
['1136', 10]
['1140', 14]
['1142', 0]
['1143', 15]
['1145', 3]
['1146', 1]
['1147', 14]
['1151', 12]
['1152', 14]
['1154', 18]
['1155', 18]
['1156', 15]
['1157', 18]
['1165', 13]
['1166', 14]
['1167', 15]
['1168', 14]
['1169', 9]
['1170', 17]
['1173', 15]
['1174', 4]
['1175', 9]
['1180', 19]
['1181', 11]
['1182', 11]
['1183', 19]
['1184', 10]
['1185', 19]
['1186', 5]
['1187', 18]
['1188', 19]
['1189', 18]
['1190', 17]
['1191', 19]
['1196', 17]
['1198', 0]
['1200', 10]
['1202', 16]
['1205', 18]
['1206', 18]
['1207', 0]
['1208', 0]
['1209', 17]
['1210', 16]
['1211', 14]
['1212', 15]
['1218', 2]
['1219', 2]
['1222', 10]
['1223', 16]
['1225', 16]
['1227', 0]
['1228', 5]
['1229', 0]
['1230', 0]
['1233', 0]
['1235', 0]
['1236', 0]
['1237', 1]
['1240', 4]
['1241', 1]
['1242', 15]
['1243', 16]
['1244', 16]
['1245', 0]
['1246', 2]
['1247', 8]
['1249', 12]
['1251', 6]
['1253', 16]
['1255', 16]
['1256', 11]
['1258', 20]
['1259', 19]
['1260', 21]
['1262', 7]
['1263', 13]
['1267', 0]
['1268', 0]
['1269', 10]
['1270', 0]
['1271', 2]
['1272', 2]
['1273', 10]
['1274', 0]
['1275', 0]
['1276', 0]
['1277', 12]
['1279', 0]
['1280', 0]
['1281', 7]
['1283', 19]
['1284', 18]
['1292', 20]
['1293', 20]
['1294', 18]
['1295', 0]
['1296', 14]
['1298', 18]
['1299', 3]
['1301', 15]
['1302', 15]
['1303', 14]
['1304', 14]
['1305', 12]
['1306', 16]
['1307', 20]
['1309', 14]
['1310', 1]
['1312', 12]
['1315', 11]
['1316', 15]
['1317', 0]
['1318', 16]
['1319', 9]
['1320', 9]
['1321', 13]
['1322', 10]
['1323', 10]
['1324', 14]
['1325', 14]
['1326', 16]
['1327', 16]
['1328', 12]
['1329', 11]
['1330', 17]
['1332', 10]
['1335', 12]
['1336', 10]
['1337', 6]
['1339', 0]
['1342', 11]
['1343', 13]
['1344', 6]
['1347', 0]
['1348', 0]
['1350', 0]
['1351', 0]
['1352', 11]
['1353', 0]
['1354', 12]
['1355', 4]
['1357', 12]
['1358', 0]
['1360', 11]
['1361', 18]
['1362', 0]
['1363', 0]
['1364', 19]
['1365', 19]
['1366', 19]
['1367', 12]
['1368', 18]
['1370', 11]
['1371', 11]
['1372', 11]
['1373', 7]
['1374', 0]
['1375', 1]
['1376', 0]
['1377', 0]
['1378', 10]
['1380', 15]
['1381', 14]
['1384', 3]
['1385', 0]
['1386', 12]
['1388', 11]
['1390', 12]
['1391', -1]
['1396', 20]
['1397', 17]
['1398', 19]
['1399', 12]
['1401', 10]
['1402', 10]
['1403', 17]
['1408', 0]
['1409', 0]
['1411', 2]
['1412', 0]
['1413', 16]
['1414', 13]
['1415', 12]
['1416', 1]
['1417', 11]
['1420', 18]
['1425', 12]
['1426', 13]
['1427', 0]
['1428', 12]
['1429', 16]
['1430', 17]
['1431', 13]
['1432', 0]
['1433', 0]
['1434', 12]
['1436', 2]
['1437', 2]
['1438', 2]
['1439', 0]
['1442', 5]
['1443', 5]
['1444', 0]
['1445', 0]
['1446', 11]
['1447', 11]
['1448', 3]
['1451', 11]
['1452', 15]
['1453', 15]
['1454', 15]
['1455', 15]
['1456', 16]
['1457', 13]
['1458', 15]
['1459', 15]
['1460', 15]
['1461', 15]
['1462', 11]
['1464', 7]
['1467', 9]
['1469', 17]
['1470', 17]
['1471', 16]
['1474', 1]
['1477', 10]
['1478', 17]
['1480', 11]
['1481', 17]
['1482', 16]
['1483', 9]
['1485', 2]
['1486', 11]
['1487', 19]
['1489', 19]
['1496', 12]
['1497', 17]
['1498', 8]
['1499', 16]
['1500', 12]
['1501', 10]
['1502', 12]
['1503', 1]
['1504', 11]
['1505', 11]
['1506', 11]
['1507', 11]
['1509', 17]
['1510', 17]
['1511', 17]
['1512', 17]
['1513', 17]
['1514', 13]
['1515', 8]
['1516', 13]
['1517', 1]
['1518', 12]
['1519', 2]
['1522', 14]
['1523', 9]
['1524', 8]
['1525', 15]
['1526', 12]
['1527', 9]
['1528', 0]
['1529', 11]
['1532', 0]
['1534', 12]
['1535', 19]
['1536', 14]
['1537', 12]
['1538', 11]
['1539', 11]
['1540', 12]
['1542', 0]
['1543', 11]
['1544', 11]
['1546', 0]
['1548', 0]
['1549', 13]
['1552', 14]
['1553', 17]
['1556', 15]
['1557', 17]
['1558', 14]
['1559', 17]
['1560', 17]
['1561', 17]
['1562', 13]
['1563', 18]
['1565', -1]
['1566', 19]
['1567', 17]
['1568', 10]
['1569', 18]
['1570', 16]
['1572', 16]
['1574', 9]
['1575', 20]
['1576', 8]
['1577', 16]
['1578', 18]
['1579', 17]
['1580', 9]
['1582', 16]
['1583', 14]
['1584', 16]
['1585', 11]
['1586', 11]
['1599', 17]
['1600', 6]
['1601', 1]
['1603', 9]
['1605', 10]
['1606', 0]
['1607', 0]
['1608', 0]
['1609', 0]
['1610', 12]
['1612', 11]
['1614', 11]
['1615', 14]
['1616', 12]
['1619', 11]
['1620', 18]
['1621', 0]
['1622', 16]
['1623', 9]
['1624', 11]
['1625', 0]
['1627', 15]
['1628', 12]
['1630', 13]
['1631', 3]
['1640', 0]
['1641', 15]
['1642', 7]
['1643', 0]
['1645', 18]
['1646', 15]
['1647', 13]
['1649', 2]
['1650', 8]
['1652', 15]
['1653', 15]
['1654', 16]
['1655', 15]
['1656', 15]
['1657', 15]
['1658', 10]
['1662', 15]
['1663', 17]
['1664', 17]
['1665', 17]
['1666', 14]
['1668', 16]
['1669', 10]
['1670', 19]
['1671', 13]
['1672', 10]
['1673', 2]
['1674', 16]
['1675', 16]
['1677', 10]
['1679', 12]
['1680', 9]
['1682', 17]
['1683', 12]
