['1364', 19]
['1365', 19]
['1366', 19]
['1367', 12]
['1368', 18]
['1370', 11]
['1371', 11]
['1372', 11]
['1373', 7]
['1374', 0]
['1375', 1]
['1376', 0]
['1377', 0]
['1378', 10]
['1380', 15]
['1381', 14]
['1384', 3]
['1385', 0]
['1386', 12]
['1388', 11]
['1390', 12]
['1391', -1]
['1396', 20]
['1397', 17]
['1398', 19]
['1399', 12]
['1401', 10]
['1402', 10]
['1403', 17]
['1408', 0]
['1409', 0]
['1411', 2]
['1412', 0]
['1413', 16]
['1414', 13]
['1415', 12]
['1416', 1]
['1417', 11]
['1420', 18]
['1425', 12]
['1426', 13]
['1427', 0]
['1563', 18]
['1565', -1]
['1566', 19]
['1567', 17]
['1568', 10]
['1569', 18]
['1570', 16]
['1572', 16]
['1574', 9]
['1575', 20]
['1576', 8]
['1577', 16]
['1578', 18]
['1579', 17]
['1580', 9]
['1582', 16]
['1583', 14]
['1584', 16]
['1585', 11]
['1586', 11]
['1599', 17]
['1600', 6]
['1601', 1]
['1603', 9]
['1605', 10]
['1606', 0]
['1607', 0]
['1608', 0]
['1609', 0]
['1610', 12]
['1612', 11]
['1614', 11]
['1615', 14]
['1616', 12]
['1619', 11]
['1620', 18]
['1621', 0]
['1622', 16]
['1623', 9]
['1624', 11]
['1625', 0]
['1627', 15]
['1628', 12]
['1630', 13]
['1631', 3]
['1640', 0]
['1641', 15]
['1642', 7]
['1643', 0]
['1958', 14]
['1959', 15]
['1960', 3]
['1961', 2]
['1962', 13]
['1963', 20]
['1964', 15]
['1966', 15]
['1967', 0]
['1968', 0]
['1969', 16]
['1970', 18]
['1972', 0]
['1973', 1]
['1974', 13]
['1976', 6]
['1979', 16]
['1980', 0]
['1981', 0]
['1982', 0]
['1983', 0]
['1984', 9]
['1985', 6]
['1986', 18]
['1988', 17]
['1989', 0]
['1993', 15]
['1994', 11]
['1995', 19]
['1999', 15]
['2001', 4]
['2002', 13]
['2003', 1]
['2005', 0]
['2006', 11]
['2008', 1]
['2009', 16]
['2010', 16]
['2012', 6]
['2013', 16]
['2014', 0]
['2015', 17]
['2018', 2]
['2019', 2]
['2020', 0]
['2021', 20]
['2022', 10]
['2023', 19]
['2024', 19]
['2025', 8]
